feed,current_id,new_id,product_id,title,in_tims_114
googleshoppingfs,9878934421820,ste-ube,9878934421820,"Star Trac E-UBe Upright Bike w/Touch Screen - Remanufactured in USA, 1",YES
googleshoppingfs,9878935142716,stiac,9878935142716,"Star Trac Impact Ab Abdominal Crunch Machine - Remanufactured in USA, ",YES
googleshoppingfs,9878935765308,stidap,9878935765308,"Star Trac Instinct Dual Adjustable Pulley - Remanufactured in USA, 1-Y",YES
googleshoppingfs,9878938321212,STIPL8505,9878938321212,"Star Trac IP-L8505 Max Rack (Newer Version) - Remanufactured in USA, 1",YES
googleshoppingfs,9878939074876,STJohnnySpin,9878939074876,"Star Trac Johnny G PRO Bike - Remanufactured in USA, 1-Year Parts & La",YES
googleshoppingfs,9878939992380,STMax,9878939992380,Star Trac Max Squat Rack / Full Cage / Smith Machine - Remanufactured ,YES
googleshoppingfs,9878943203644,stpro,9878943203644,"Star Trac PRO Indoor Cycle - Remanufactured in USA, 1-Year Parts & Lab",YES
googleshoppingfs,9878944121148,STProUB,9878944121148,"Star Trac Pro Upright Bike - Remanufactured in USA, 1-Year Parts & Lab",YES
googleshoppingfs,9878944710972,STPST,9878944710972,"Star Trac P-ST Pro Stair Stepper - Remanufactured in USA, 1-Year Parts",YES
googleshoppingfs,9878946349372,STSTRXTreadblack,9878946349372,"Star Trac S-TRx Treadmill - Remanufactured in USA, 1-Year Parts & Labo",YES
googleshoppingfs,9878947627324,sttr4000,9878947627324,"Star Trac TR 4000 Treadmill - Remanufactured in USA, 1-Year Parts & La",YES
googleshoppingfs,9878948053308,sttr4500,9878948053308,"Star Trac TR 4500 Treadmill - Remanufactured in USA, 1-Year Parts & La",YES
